t,x
71101,500.8040959
71201,505.4307715
71301,510.0492126
71401,514.6563869
71501,519.2493896
71601,523.8254447
71701,528.3819072
71801,532.9162631
71901,537.4261303
72001,541.9092581
72101,546.3635267
72201,550.7869462
72301,555.1776552
72401,559.5339184
72501,563.8541251
72601,568.1367863
72701,572.3805318
72801,576.5841072
72901,580.7463706
73001,584.866289
73101,588.9429349
73201,592.9754819
73301,596.9632011
73401,600.9054571
73501,604.8017038
73601,608.6514801
73701,612.4544061
73801,616.2101787
73901,619.9185673
74001,623.5794103
74101,627.1926104
74201,630.7581312
74301,634.275993
74401,637.7462693
74501,641.1690827
74601,644.544602
74701,647.8730384
74801,651.1546423
74901,654.3897
75001,657.5785311
75101,660.7214851
75201,663.8189391
75301,666.8712952
75401,669.8789775
75501,672.8424306
75601,675.7621168
75701,678.6385141
75801,681.4721147
75901,684.2634227
76001,687.0129526
76101,689.7212279
76201,692.3887795
76301,695.016144
76401,697.6038631
76501,700.1524821
76601,702.6625486
76701,705.1346119
76801,707.569222
76901,709.9669285
77001,712.3282803
77101,714.6538244
77201,716.9441058
77301,719.1996664
77401,721.4210449
77501,723.6087761
77601,725.7633907
77701,727.8854144
77801,729.9753685
77901,732.0337685
78001,734.0611247
78101,736.0579416
78201,738.0247176
78301,739.9619453
78401,741.8701107
78501,743.7496936
78601,745.6011672
78701,747.4249981
78801,749.2216463
78901,750.9915652
79001,752.7352012
79101,754.4529942
79201,756.1453771
79301,757.8127763
79401,759.455611
79501,761.0742942
79601,762.6692318
79701,764.240823
79801,765.7894607
79901,767.3155309
80001,768.8194132
80101,770.3014806
80201,771.7620999
80301,773.2016313
80401,774.620429
80501,776.0188408
80601,777.3972084
80701,778.7558674
80801,780.0951476
80901,781.4153728
81001,782.716861
81101,783.9999245
81201,785.2648698
81301,786.5119983
81401,787.7416053
81501,788.9539813
81601,790.1494111
81701,791.3281746
81801,792.4905462
81901,793.6367957
82001,794.7671876
82101,795.8819818
82201,796.9814331
82301,798.065792
82401,799.135304
82501,800.1902104
82601,801.2307478
82701,802.2571485
82801,803.2696406
82901,804.2684479
83001,805.25379
83101,806.2258826
83201,807.1849374
83301,808.131162
83401,809.0647604
83501,809.9859327
83601,810.8948754
83701,811.7917812
83801,812.6768395
83901,813.5502361
84001,814.4121533
84101,815.2627701
84201,816.1022623
84301,816.9308025
84401,817.7485598
84501,818.5557007
84601,819.3523884
84701,820.138783
84801,820.9150419
84901,821.6813196
85001,822.4377676
85101,823.1845349
85201,823.9217677
85301,824.6496094
85401,825.3682011
85501,826.0776812
85601,826.7781854
85701,827.4698474
85801,828.1527982
85901,828.8271664
86001,829.4930784
86101,830.1506584
86201,830.8000284
86301,831.441308
86401,832.0746149
